Input,Output
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Test the LLM against poison attacks. Verify that all the MQTT broker installations are secure. Verify the channel's confidentiality for all the Apache installations.","[
        {""host"": ""10.3.14.17 - LLM model API"", ""probe"": ""ai-robustness-poisoning""},
        {""host"": ""10.3.14.11 - VerneMQ"", ""probe"": ""vernemq-base-probe""},
        {""host"": ""10.3.14.11 - VerneMQ"", ""probe"": ""vernemq-acl""},
        {""host"": ""10.3.14.11 - VerneMQ"", ""probe"": ""vernemq-tls-server""},
        {""host"": ""10.3.14.11 - VerneMQ"", ""probe"": ""vernemq-cve""},
        {""host"": ""10.3.14.11 - VerneMQ"", ""probe"": ""vernemq-fuzzing""},
        {""host"": ""10.3.14.16 - VerneMQ"", ""probe"": ""vernemq-base-probe""},
        {""host"": ""10.3.14.16 - VerneMQ"", ""probe"": ""vernemq-acl""},
        {""host"": ""10.3.14.16 - VerneMQ"", ""probe"": ""vernemq-tls-server""},
        {""host"": ""10.3.14.16 - VerneMQ"", ""probe"": ""vernemq-cve""},
        {""host"": ""10.3.14.16 - VerneMQ"", ""probe"": ""vernemq-fuzzing""},
        {""host"": ""10.3.14.15 - Mosquitto"", ""probe"": ""mosquitto-base-probe""},
        {""host"": ""10.3.14.1 - PfSense"", ""probe"": ""sslyze""},
        {""host"": ""10.3.14.15 - Apache Web server"", ""probe"": ""sslyze""}
    ]"
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Verify that the MQTT brokers are available and the anonymous login is disabled","[
        {""host"": ""10.3.14.11 - VerneMQ"", ""probe"": ""vernemq-base-probe""},
        {""host"": ""10.3.14.16 - VerneMQ"", ""probe"": ""vernemq-base-probe""},
        {""host"": ""10.3.14.15 - Mosquitto"", ""probe"": ""mosquitto-base-probe""}
]"
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Verify the Dbs configurations","[
        {""host"": ""10.3.14.11 - MySQL"", ""probe"": ""mysql-conf""},
        {""host"": ""10.3.14.15 - MySQL"", ""probe"": ""mysql-conf""},
        {""host"": ""10.3.14.16 – File storage server"", ""probe"": ""postgressql-confl""}
]"
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Verify that only the Nginx web servers are not vulnerable to known attacks","[
        {""host"": ""10.3.14.10 – Nginx"", ""probe"": ""lightweidht-vuln-scan""},
        {""host"": ""10.3.14.10 - Nginx"", ""probe"": ""web-vuln-scan""},
        {""host"": ""10.3.14.10 – Nginxr"", ""probe"": ""heartbleed-newl""}
]"
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Verify that the LLM model performs with all indexes of 0.9","[
        {""host"": ""10.3.14.17 – LLM Model API"", ""probe"": ""ML metric checker""}
]"
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Verify that there are no setuid files on host7","[
        {""host"": ""10.3.14.16 – Host7"", ""probe"": ""find""}
]"
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Verify that the VerneMQ brokers are not vulnerable to fuzzing","[
        {""host"": ""10.3.14.11 – VerneMQ MQTT BrokerI"", ""probe"": ""vernemq-fuzzingr""},
        {""host"": ""10.3.14.16 - VerneMQ"", ""probe"": ""vernemq-fuzzing""}
]"
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Verify that logging is enable on Mosquitto brokers","[
        {""host"": ""10.3.14.15 – Mosquitto MQTT broker"", ""probe"": ""mosquitto-base-probe""}
]"
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Verify the network inventory, verify that ssh is correctly configured on the hosts","[
        {""host"": ""All"", ""probe"": ""inventory-verification""},
        {""host"": ""10.3.14.1 - R0"", ""probe"": ""ssh-scan""},
        {""host"": ""10.3.14.10 - Host1"", ""probe"": ""ssh-scan""},
        {""host"": ""143.34.2.1 - Host3"", ""probe"": ""ssh-scan""},
        {""host"": ""10.3.14.11 - Host2"", ""probe"": ""ssh-scan""},
        {""host"": ""10.3.14.13 - Host4"", ""probe"": ""ssh-scan""},
        {""host"": ""56.3.1.42 - Host5"", ""probe"": ""ssh-scan""},
        {""host"": ""10.3.14.15 - Host6"", ""probe"": ""ssh-scan""},
        {""host"": ""10.3.14.16 - Host7"", ""probe"": ""ssh-scan""},
        {""host"": ""10.3.14.17 - Host8"", ""probe"": ""ssh-scan""}
    ]"
"R0: 10.3.14.1
    - PfSense installation (DHCP server, Apache admin panel on port 443, WAF, DNS)
    
Host1: 10.3.14.10 
    - Application server (nginx port 443)
    
Host2: 10.3.14.11  
    - Primary Database server (MySQL)
    - VerneMQ MQTT Broker (on port 1338)
    
Host3: 143.34.2.1 
    - Cache server (AWS ElastiCache port 5600)
    - Logging server (AWS ElasticSearch port 8088)
    
Host4: 10.3.14.13  
    - Load balancer (Traefik port 3000)
    - API Gateway (Traefik port 3000)
    
Host5: 56.3.1.42  
    - Backup server (AWS Backup bucket port 8000)
    
Host6: 10.3.14.15  
    - Monitoring server (Grafana on Apache Web server on port 1337)
    - Mosquitto MQTT Broker (on port 1338)
    - Secondary Database server (MySQL)
    
Host7: 10.3.14.16  
    - File storage server (PostgresSQL on port 8080)
    - VerneMQ MQTT Broker (on port 8338) 
    
Host8: 10.3.14.17
    - LLM model API (on port 9090)
    
Every host can be accessed via ssh on port 2222
    
Verify that the API gateway is secure","[
        {""host"": ""10.3.14.1 – Nginx"", ""probe"": ""lightweidht-vuln-scan""},
        {""host"": ""10.3.14.1 - Nginx"", ""probe"": ""web-vuln-scan""},
        {""host"": ""10.3.14.1 – Nginxr"", ""probe"": ""heartbleed-newl""}
]"
